Series Name,Series Code,Country Name,Country Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Bahamas, The",BHS,..,..,..,..,101.865493774414,95.8360290527344,96.387077331543,92.2822494506836,90.4650115966797,82.4061126708984,89.739616394043,89.3227996826172,79.2159271240234,80.0656661987305,85.2286987304688,77.4233932495117,..,76.4586334228516,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bahrain,BHR,96.6848907470703,100.541427612305,100.103309631348,102.047119140625,101.628448486328,..,..,..,..,..,89.4713821411133,93.2264175415039,94.4823684692383,96.647216796875,98.7402725219727,99.5136489868164,99.4512023925781,97.8741226196289,100.241188049316,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bangladesh,BGD,..,..,..,..,66.3205490112305,..,..,59.0229911804199,65.4580383300781,67.8321914672852,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Barbados,BRB,106.100860595703,103.478050231934,106.610549926758,97.660530090332,91.6477966308594,93.9386215209961,92.2757873535156,94.6002578735352,95.7474899291992,95.6165771484375,98.1675415039063,..,..,..,..,..,..,88.7468719482422,90.0936737060547,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belarus,BLR,106.733108520508,132.676574707031,103.189079284668,102.71907043457,98.8684463500977,97.6510696411133,96.3097534179688,99.112922668457,105.845222473145,106.972717285156,107.90567779541,104.076461791992,100.264938354492,98.6679077148438,96.76220703125,96.8677520751953,101.681007385254,104.61791229248,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Belize,BLZ,100.818092346191,..,97.2439804077148,97.6511993408203,98.4410781860352,97.4540863037109,98.9946975708008,94.9059906005859,99.6844177246094,100.741897583008,103.951957702637,108.057716369629,101.698776245117,102.06120300293,104.231796264648,105.337623596191,102.609710693359,104.474479675293,102.84693145752,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Benin,BEN,41.677318572998,43.788990020752,48.11962890625,51.8713188171387,..,..,..,63.6705017089844,..,66.7116088867188,71.6880187988281,73.0410766601563,78.605598449707,79.4543991088867,81.1403274536133,80.7455596923828,..,..,64.4395980834961,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bermuda,BMU,94.4636688232422,98.9559173583984,95.6876525878906,90.1292572021484,90.4875106811523,90.5910720825195,..,..,..,103.209243774414,95.5613632202148,94.8069229125977,98.2360916137695,88.9502792358398,91.5730285644531,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bhutan,BTN,51.4844589233398,..,..,60.1642189025879,66.098518371582,71.0585708618164,72.6340408325195,78.4304885864258,80.8453979492188,87.2934417724609,89.0704498291016,98.9733505249023,96.6399917602539,96.2384414672852,..,100.662162780762,100,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bolivia,BOL,..,..,..,..,..,..,..,..,..,97.2559585571289,96.8819274902344,97.446418762207,94.4482116699219,90.7119598388672,88.8391418457031,89.9124298095703,91.6103134155273,94.8397827148438,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Botswana,BWA,99.0527572631836,99.8582305908203,99.3573684692383,98.3990325927734,97.716926574707,101.558616638184,98.311279296875,99.4741897583008,101.079399108887,..,..,101.208419799805,100.661170959473,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Brazil,BRA,112.229606628418,114.199432373047,109.366607666016,100.684646606445,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,British Virgin Islands,VGB,..,109.97151184082,102.586212158203,112.716758728027,107.75862121582,107.62712097168,89.9456481933594,..,82.8282775878906,..,87.1734008789063,90.8046035766602,93.9051895141602,82.5503387451172,95.0672607421875,90.5963287353516,95.4976272583008,79.6068801879883,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Brunei Darussalam,BRN,121.65795135498,117.53295135498,119.991226196289,111.281463623047,107.359306335449,107.654678344727,107.429626464844,105.274322509766,101.906356811523,105.353889465332,110.976997375488,107.069976806641,106.123931884766,100.117538452148,102.17227935791,..,107.427223205566,107.978721618652,100.098007202148,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Bulgaria,BGR,101.754859924316,96.5668869018555,97.7925567626953,98.6427307128906,98.6592636108398,99.3508605957031,101.33283996582,95.1536483764648,101.704399108887,113.339561462402,110.201042175293,101.810562133789,98.9587936401367,97.9525375366211,96.191291809082,92.0453414916992,89.8164672851563,86.618537902832,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Burkina Faso,BFA,26.677619934082,27.4854698181152,29.1116504669189,30.4265308380127,31.7365798950195,32.8056182861328,34.9742698669434,38.8692588806152,43.9145088195801,47.0552215576172,..,57.3660316467285,62.344051361084,60.8494987487793,62.0298004150391,61.7243385314941,63.5192184448242,65.4789276123047,64.5494537353516,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Burundi,BDI,24.7870407104492,25.1833992004395,29.5831394195557,31.7919998168945,33.9464302062988,..,38.660961151123,41.6534881591797,48.359058380127,51.5484199523926,56.3757705688477,62.9979209899902,70.719841003418,69.5665588378906,64.539680480957,67.6745071411133,68.3787002563477,63.0213890075684,59.3764190673828,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cabo Verde,CPV,98.7548904418945,98.8344573974609,98.8822021484375,96.1720962524414,81.7521667480469,94.7246780395508,91.7592391967773,99.7165222167969,96.8335876464844,101.10082244873,96.2914505004883,97.7590789794922,92.3590621948242,94.7222518920898,95.2153625488281,91.0370635986328,87.4014205932617,87.2902069091797,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cambodia,KHM,51.2844200134277,59.9103813171387,66.6233978271484,77.631462097168,86.9385681152344,89.3888626098633,90.7340316772461,85.9216537475586,83.2892684936523,85.1790008544922,87.4683380126953,93.1910171508789,94.1903686523438,96.6427917480469,95.5130233764648,92.411376953125,89.5456314086914,87.9994812011719,91.0273666381836,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cameroon,CMR,..,..,56.6142387390137,58.5812683105469,..,50.8616790771484,54.1194915771484,69.9614715576172,69.6968231201172,71.679931640625,70.7142486572266,74.2418212890625,..,72.7797775268555,74.1704330444336,73.3931884765625,68.214241027832,64.4706802368164,65.4980392456055,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cayman Islands,CYM,101.912048339844,99.474609375,..,86.2992095947266,85.5140228271484,85.9621505737305,88.871467590332,91.2087936401367,..,..,101.661628723145,100,92.6345596313477,..,..,..,..,89.5522384643555,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Central African Republic,CAF,..,..,..,23.8448696136475,26.0993099212646,26.1119403839111,..,34.8154792785645,37.2255706787109,39.2277984619141,40.8723297119141,42.824161529541,..,..,..,40.8741683959961,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Chad,TCD,24.3890209197998,27.1160297393799,31.9351997375488,33.4850692749023,30.0958194732666,29.5975303649902,..,..,31.0771808624268,30.8605804443359,33.9375915527344,34.4006614685059,37.6621894836426,..,37.4959716796875,41.3202590942383,37.9223899841309,40.5602188110352,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Chile,CHL,..,..,..,..,..,..,..,..,..,..,95.7144470214844,98.8201675415039,98.6990432739258,98.9005584716797,96.9769592285156,95.482551574707,94.7535629272461,96.2421035766602,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,China,CHN,..,..,..,..,..,91.6324234008789,93.3478927612305,99.2769393920898,98.2946319580078,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Colombia,COL,92.8008575439453,92.8196029663086,..,100.103973388672,104.173110961914,110.58097076416,112.731727600098,113.021713256836,117.861930847168,116.955993652344,115.310020446777,109.66822052002,99.7944412231445,99.2422027587891,100.033050537109,101.711250305176,105.986801147461,106.769386291504,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Comoros,COM,..,58.1392211914063,57.263988494873,61.908519744873,..,..,64.0801162719727,73.322998046875,..,..,..,..,74.6987991333008,77.6799163818359,..,..,76.7200775146484,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Congo, Dem. Rep.",COD,..,42.7093696594238,..,..,..,..,55.4441909790039,60.5138397216797,63.1171112060547,63.6416206359863,65.5729904174805,70.9040908813477,69.771728515625,..,69.9111709594727,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Congo, Rep.",COG,56.5361289978027,59.2704315185547,55.8882598876953,80.3781433105469,70.0593795776367,75.9878387451172,74.3582000732422,69.1869888305664,68.3947982788086,68.4287261962891,74.9830322265625,71.6060409545898,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Costa Rica,CRI,91.2737503051758,93.4924468994141,..,94.0834121704102,93.5060577392578,90.268928527832,92.7008895874023,94.4894027709961,97.9489898681641,99.3260726928711,104.360450744629,102.410400390625,98.6496505737305,98.4260711669922,99.5866012573242,97.3209075927734,96.7783737182617,98.594367980957,102.738052368164,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cote d'Ivoire,CIV,49.2252502441406,..,..,..,..,43.7401695251465,44.9141693115234,..,45.8209495544434,..,53.1780281066895,54.474479675293,53.2936401367188,54.8682403564453,60.4421310424805,64.1632080078125,71.5998992919922,74.6025772094727,78.750846862793,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Croatia,HRV,95.0147476196289,98.1936798095703,97.3597793579102,..,103.447090148926,101.719703674316,103.874206542969,98.6782379150391,93.5910873413086,91.2727584838867,93.0890121459961,92.7430114746094,94.9645233154297,97.9385604858398,103.484039306641,101.019996643066,95.5471572875977,94.8478088378906,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cuba,CUB,95.8913497924805,102.148101806641,98.5632400512695,96.5849990844727,97.9265289306641,95.8993377685547,94.3461532592773,89.0286026000977,95.7543792724609,94.9846496582031,95.780632019043,94.9207000732422,93.8607711791992,98.0944290161133,97.0762405395508,92.8256072998047,89.5238189697266,84.1314086914063,86.5321502685547,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Cyprus,CYP,98.0424880981445,100.450119018555,101.184638977051,87.5518264770508,100.081802368164,101.146209716797,99.9516296386719,100.246208190918,103.16040802002,99.3164901733398,101.733100891113,100.064140319824,98.3320693969727,99.8253784179688,96.8190612792969,98.4673919677734,101.269729614258,101.87670135498,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Czech Republic,CZE,99.4471130371094,104.014030456543,99.1799392700195,99.7795486450195,98.9374389648438,93.8982009887695,95.5989379882813,98.5074615478516,103.523277282715,106.45677947998,103.759140014648,100.990440368652,99.7610397338867,98.1607208251953,96.0707931518555,97.0674667358398,97.8440399169922,98.5400619506836,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Denmark,DNK,101.358787536621,105.415771484375,..,100.657577514648,100.359573364258,102.039657592773,101.755920410156,100.970581054688,97.9730224609375,99.1199264526367,99.6296691894531,98.2584915161133,99.2784118652344,98.7749786376953,98.7380294799805,103.882690429688,103.776397705078,101.036628723145,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Djibouti,DJI,26.4159603118896,..,..,..,33.6045684814453,38.2515716552734,..,44.6627082824707,..,..,50.7826194763184,..,50.6983108520508,59.9770698547363,65.5961303710938,67.3525085449219,62.976318359375,66.3802871704102,..,63.0319709777832
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Dominica,DMA,117.719680786133,100.547203063965,94.5716171264648,95.1035766601563,93.3904495239258,84.3052062988281,86.1508483886719,82.2328109741211,78.9699630737305,77.0392684936523,86.6826171875,97.3041305541992,96.4253768920898,100.857139587402,105.953582763672,113.926696777344,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Dominican Republic,DOM,..,92.2333068847656,..,88.6272201538086,..,85.8062210083008,92.6830978393555,..,93.8494033813477,92.6957397460938,93.0707397460938,93.521369934082,94.2355422973633,95.2600479125977,99.5260772705078,99.1580276489258,95.3280868530273,93.1275177001953,93.3040924072266,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ecuador,ECU,97.6651306152344,97.3158798217773,96.6519012451172,96.3012466430664,100.416580200195,99.7706604003906,99.1225128173828,..,97.2144927978516,103.195831298828,106.973457336426,108.207130432129,108.696159362793,112.229141235352,106.404838562012,103.555740356445,105.41584777832,104.43367767334,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Egypt, Arab Rep.",EGY,89.3992080688477,88.2380599975586,88.6696929931641,90.1892395019531,91.9718627929688,87.3576126098633,90.9253234863281,..,93.5134582519531,96.0279922485352,..,..,100.530143737793,..,..,96.9064483642578,97.1895523071289,100.685211181641,104.609298706055,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,El Salvador,SLV,89.8007202148438,88.4902877807617,87.8571166992188,..,89.139762878418,88.9868698120117,93.2692489624023,94.7315826416016,97.462158203125,99.7349014282227,103.335006713867,103.404113769531,101.834938049316,100.104339599609,96.2683792114258,92.9791793823242,90.3703308105469,86.6076965332031,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Equatorial Guinea,GNQ,..,..,36.5905914306641,..,43.9051208496094,..,..,41.0496597290039,42.9639015197754,44.381160736084,42.4568214416504,44.0126800537109,..,..,40.7759208679199,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Eritrea,ERI,49.498950958252,48.9708518981934,55.2257499694824,64.3374633789063,79.4032897949219,79.7164993286133,79.3443298339844,82.0190734863281,87.9706878662109,76.3306503295898,73.2809066772461,66.0858383178711,61.0422286987305,..,62.8411102294922,..,64.1866607666016,60.2705116271973,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Estonia,EST,101.407081604004,102.951141357422,106.305892944336,102.321716308594,102.636268615723,94.9776382446289,94.7523498535156,95.4535522460938,98.7465896606445,100.63427734375,101.431327819824,103.817939758301,104.320831298828,100.092430114746,98.7666397094727,96.442626953125,97.2314376831055,96.6946334838867,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Eswatini,SWZ,66.9627838134766,69.4657897949219,66.4033203125,68.159309387207,70.5943069458008,72.0288772583008,80.4999465942383,..,79.0749282836914,83.2271728515625,83.8032073974609,84.6974716186523,86.0470275878906,84.5466613769531,89.1431503295898,95.1488571166992,95.8192672729492,94.4848709106445,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ethiopia,ETH,27.7443103790283,31.6078491210938,34.9263305664063,37.6991691589355,43.4614791870117,47.1911392211914,47.2925186157227,49.4527893066406,51.3595085144043,57.7027397155762,52.5476303100586,50.3079681396484,..,53.3883285522461,54.1109008789063,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Fiji,FJI,97.063117980957,102.011428833008,..,109.351402282715,..,111.531272888184,..,105.878280639648,105.146781921387,..,104.667778015137,106.260528564453,106.734672546387,..,111.63330078125,107.018417358398,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Finland,FIN,102.150802612305,100.871452331543,101.917068481445,100.18132019043,100.193222045898,96.7771224975586,98.1877670288086,98.7786102294922,97.8647079467773,98.6290512084961,98.2048416137695,100.030967712402,99.6383819580078,98.888542175293,99.0319213867188,100.884971618652,101.498321533203,100.373809814453,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Gabon,GAB,..,73.265251159668,71.1904373168945,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Gambia, The",GMB,65.9763717651367,63.364990234375,65.8316802978516,64.3501892089844,61.291618347168,59.5102882385254,66.3371276855469,72.3503875732422,..,67.1028900146484,63.9733085632324,65.6831130981445,66.4179992675781,66.9994125366211,67.4725036621094,69.2726135253906,..,..,78.942512512207,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Georgia,GEO,120.99609375,118.189666748047,106.505088806152,112.070449829102,97.7706604003906,92.0365676879883,98.8168106079102,102.380386352539,105.074508666992,106.473663330078,..,101.436813354492,104.258110046387,103.504737854004,102.941383361816,115.433952331543,113.701599121094,95.5082321166992,92.8278732299805,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Germany,DEU,105.795707702637,101.670143127441,100.68123626709,99.4702682495117,96.879638671875,98.4968032836914,103.536979675293,101.979026794434,102.383796691895,102.015350341797,101.566879272461,98.6531372070313,98.3986892700195,97.2827072143555,98.9182968139648,97.9372024536133,98.8051376342773,100.843322753906,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ghana,GHA,65.4455871582031,67.0999298095703,68.1915283203125,67.3016586303711,73.0719528198242,69.4250411987305,74.6520919799805,79.998908996582,81.2757873535156,..,88.0656509399414,93.8643264770508,94.8246917724609,93.6545333862305,98.756217956543,..,94.7244567871094,93.8091125488281,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.6808471679688,92.258056640625,..,100.218338012695,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Greece,GRC,..,..,..,99.2926712036133,96.4587707519531,99.0931625366211,97.3844604492188,..,..,95.3190994262695,93.1533432006836,96.9841232299805,95.3590087890625,95.5761108398438,97.3575592041016,97.3373413085938,96.766357421875,97.9323806762695,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Grenada,GRD,..,96.4662933349609,107.041648864746,..,108.766990661621,..,105.181861877441,120.010261535645,132.436706542969,123.12296295166,..,..,108.755470275879,..,..,..,120.995529174805,123.00122833252,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guatemala,GTM,58.0393409729004,61.5801582336426,..,67.2630081176758,70.924201965332,73.928840637207,74.6705322265625,77.5581665039063,81.6269073486328,83.6259689331055,85.7924194335938,84.7521209716797,84.8632888793945,84.6694869995117,82.711669921875,79.1323089599609,79.9413299560547,79.6903762817383,79.1303329467773,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guinea,GIN,33.4289512634277,37.3520011901855,37.5430488586426,47.1932487487793,53.207878112793,57.4863510131836,57.7622718811035,50.6495094299316,56.753589630127,56.9179611206055,..,60.1013793945313,60.8259201049805,62.2595405578613,..,59.6673698425293,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,65.1425170898438,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Guyana,GUY,92.6705322265625,..,77.5369491577148,..,93.4590682983398,93.7951889038086,94.0494995117188,95.5324096679688,98.4482192993164,92.7117919921875,97.6373519897461,97.3759384155273,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Honduras,HND,..,..,77.6698837280273,..,77.2666015625,81.9403686523438,..,79.566291809082,81.0968933105469,84.9497909545898,87.4750518798828,86.8210678100586,80.9040832519531,77.19140625,..,80.4702224731445,81.6243286132813,..,79.4581069946289,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,100.762702941895,99.0783996582031,102.26782989502,105.082496643066,104.151702880859,103.113662719727,104.494232177734,106.732749938965,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Hungary,HUN,98.0166778564453,99.413330078125,96.1854019165039,94.6210098266602,93.8126602172852,98.7664566040039,95.0256500244141,96.5894165039063,96.7956619262695,97.1036605834961,98.7274169921875,97.5367279052734,97.7134170532227,96.4696426391602,96.9503479003906,98.5947570800781,105.050033569336,98.849250793457,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Iceland,ISL,111.93042755127,106.060607910156,109.357803344727,98.4687118530273,98.5231170654297,96.7849731445313,94.9831390380859,94.7812881469727,98.9802703857422,98.0200271606445,99.8600082397461,98.1638412475586,102.473503112793,98.0610122680664,96.5738830566406,99.952507019043,101.841491699219,99.2050933837891,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,India,IND,72.1695404052734,75.5600662231445,80.0443801879883,..,..,..,..,94.7575836181641,95.7462921142578,..,92.7633590698242,..,96.2008895874023,97.5711212158203,97.7113189697266,96.2306976318359,94.3737487792969,..,91.661491394043,..
